restriction_set,shock,variable,h,q16,q50,q84
baseline,real_yield,real_yield,48,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,49,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,50,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,51,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,52,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,53,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,54,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,55,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,56,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,57,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,58,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,59,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,60,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,dxy,0,0.0005605825439738931,0.001621074384481368,0.0025998146587570704
baseline,real_yield,dxy,1,0.0011211463181229786,0.0020807417932573054,0.002919163468414207
baseline,real_yield,dxy,2,0.0011055984466961674,0.002064040483694067,0.0029172885341628894
baseline,real_yield,dxy,3,0.0011101502438635124,0.0020746561930624547,0.002921702089045328
baseline,real_yield,dxy,4,0.0011091079330919332,0.0020741496182035014,0.002921695180000573
baseline,real_yield,dxy,5,0.0011092792743959243,0.0020742706298648656,0.0029217047009644083
baseline,real_yield,dxy,6,0.001109251688758156,0.00207426573819616,0.0029217042763038446
baseline,real_yield,dxy,7,0.0011092561212969183,0.0020742671450229974,0.0029217043342267164
baseline,real_yield,dxy,8,0.001109255410593622,0.002074267114306025,0.0029217043377184407
baseline,real_yield,dxy,9,0.001109255524501808,0.002074267131309859,0.002921704336056059
baseline,real_yield,dxy,10,0.0011092555062503543,0.002074267131115145,0.00292170433653256
baseline,real_yield,dxy,11,0.0011092555091747067,0.002074267131365705,0.0029217043364305087
baseline,real_yield,dxy,12,0.0011092555087061438,0.0020742671313597593,0.002921704336450656
baseline,real_yield,dxy,13,0.0011092555087812248,0.0020742671313642197,0.002921704336446929
baseline,real_yield,dxy,14,0.0011092555087691934,0.002074267131364012,0.002921704336447595
baseline,real_yield,dxy,15,0.0011092555087711215,0.0020742671313640952,0.002921704336447479
baseline,real_yield,dxy,16,0.0011092555087708126,0.00207426713136409,0.002921704336447499
baseline,real_yield,dxy,17,0.001109255508770862,0.0020742671313640918,0.002921704336447496
baseline,real_yield,dxy,18,0.001109255508770854,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,19,0.0011092555087708553,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,20,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,21,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,22,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,23,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,24,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,25,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,26,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,27,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,28,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,29,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,30,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,31,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,32,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,33,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,34,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,35,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,36,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,37,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,38,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,39,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,40,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,41,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,42,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,43,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,44,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,45,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,46,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,47,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,48,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,49,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,50,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,51,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,52,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,53,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,54,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,55,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,56,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,57,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,58,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,59,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,dxy,60,0.001109255508770855,0.0020742671313640918,0.0029217043364474964
baseline,real_yield,spx,0,-0.008365265231733983,-0.005374941275798156,-0.0021594152614668495
baseline,real_yield,spx,1,-0.00758131038693558,-0.005123528528956372,-0.0022693142950832245
baseline,real_yield,spx,2,-0.007716246524326204,-0.005196601256517471,-0.002306594512227257
baseline,real_yield,spx,3,-0.007697481640415371,-0.005190072548247729,-0.0023054967491414387
baseline,real_yield,spx,4,-0.007699517832278422,-0.005190773016492586,-0.0023060954644340296
baseline,real_yield,spx,5,-0.007699236249804007,-0.005190662552217829,-0.002306023218947377
baseline,real_yield,spx,6,-0.00769927332069414,-0.005190679757375105,-0.00230603910598601
baseline,real_yield,spx,7,-0.007699268523870618,-0.005190677038035109,-0.0023060364165056503
baseline,real_yield,spx,8,-0.0076992691570260015,-0.005190677489125049,-0.0023060369285357084
baseline,real_yield,spx,9,-0.007699269073844603,-0.005190677416899124,-0.002306036835793497
baseline,real_yield,spx,10,-0.007699269084739613,-0.005190677428641505,-0.0023060368529815556
