cluster_id,ticker,horizon,n,mean,std,hit_rate
0,SLV,60,208,-0.03406567649120172,0.07235655614307222,0.3269230769230769
0,^GSPC,1,208,-0.00012549182787803857,0.009747354060488765,0.47596153846153844
0,^GSPC,5,208,-0.0008402168981110006,0.02049852675376315,0.5336538461538461
0,^GSPC,20,208,-0.003706635905151826,0.03296858247440816,0.46634615384615385
0,^GSPC,60,208,-0.02028282128646179,0.05013559648679072,0.36538461538461536
0,^VIX,1,208,0.0015141330064386048,0.08730530800325782,0.4807692307692308
0,^VIX,5,208,0.007282069714657677,0.19324290189106408,0.47115384615384615
0,^VIX,20,208,0.027931533500979433,0.2925649769908402,0.5240384615384616
0,^VIX,60,208,0.11487600647666696,0.326000872752039,0.6346153846153846
1,CL=F,1,679,3.690772034600984e-05,0.024466426343836275,0.5213549337260678
1,CL=F,5,678,-0.0023118865638470276,0.05311634879116591,0.4941002949852507
1,CL=F,20,673,-0.011940323676069795,0.08110090915742998,0.4323922734026746
1,CL=F,60,673,-0.04032847887590434,0.12241579838278749,0.29569093610698366
1,GC=F,1,679,0.0005637251358272124,0.009402903207742576,0.5375552282768777
1,GC=F,5,678,0.0023768750482621994,0.020409842414077277,0.5368731563421829
1,GC=F,20,673,0.011330974247669021,0.04105097294152859,0.6017830609212481
1,GC=F,60,673,0.032601978224161304,0.07064689094660559,0.6775631500742942
1,GLD,1,678,0.0005045727279465175,0.009372876945105387,0.528023598820059
1,GLD,5,676,0.002293137933348557,0.020474083100607735,0.5192307692307693
1,GLD,20,671,0.011030174241803354,0.04141273627075868,0.5961251862891207
1,GLD,60,671,0.03162163824352932,0.07114142146659723,0.6721311475409836
1,HG=F,1,680,-3.3504719116283404e-05,0.015425842529617961,0.5058823529411764
1,HG=F,5,679,-0.0011914970359061397,0.036804738645791535,0.4948453608247423
1,HG=F,20,674,-0.0011031691956902455,0.06875924034170953,0.5237388724035609
1,HG=F,60,674,-0.004712779726491931,0.11367398248611474,0.4910979228486647
1,PA=F,1,679,-0.0015862370378182963,0.02830879664610052,0.4683357879234168
1,PA=F,5,678,-0.007183193284470747,0.061058574308231806,0.42920353982300885
1,PA=F,20,673,-0.025381920022986292,0.09107182611457448,0.35661218424962854
1,PA=F,60,673,-0.07778503714859465,0.12527856480571375,0.27340267459138184
1,PALL,1,678,-0.001567704908278509,0.026251973886585615,0.45722713864306785
1,PALL,5,676,-0.007192797236633088,0.057895262393101256,0.42011834319526625
